Review,keyphrases,Topic_Name,Score,Document_ID
"Its a highly prestigious company that provides a strong platform in the current market. Adani policies are not consistent across all the domains. For example, RMRW gets the fewest perks, and there is no clear promotion criteria or strong employee welfare benefits.","Its a highly prestigious company, a strong platform, the current market, Adani policies, all the domains, example, RMRW, the fewest perks, no clear promotion criteria, strong employee welfare benefits",Salary and Benefits,0.08170997715052296,32
No planning of work. 10 percent employees are given no increament annually as per company rule.,"No planning, work, 10 percent employees, no increament, company rule",Company Culture and Management,0.1175759041141145,33
Good company. Work load and over time,"Good company, Work load, time",Company Culture and Management,0.1921083071803165,34
The adani group is Vry Growing Company il working culture and environment are good. I have not dislike the Our company,"The adani group, Vry Growing Company, il working culture, environment, the Our company",Company Culture and Management,0.3167433283735088,35
Yes. No work life balance available,No work life balance,Work-Life Balance,0.8080598199019293,36
Best place to learning. No work fredom,"Best place, No work",Work-Life Balance,0.16999124253743805,37
Overall all good 👍. No,Overall all good 👍,Work-Life Balance,0.0,38
Salary on time. Transfer in third party contract.,"Salary, time, Transfer, third party contract",Salary and Benefits,0.20086133218997979,39
Very good. Trust & stability,"Trust, stability",Work-Life Balance,0.0,40
Not more but ok. Culture is not friendly but ok to survive..,Culture,Company Culture and Management,0.47386908010193163,41
Can learn of new skills internally. Company culture is a different one and responsibilities are reversed.,"new skills, Company culture, a different one, responsibilities",Company Culture and Management,0.32860034091062545,42
Adoption of new skills and upgraded system. All good,"Adoption, new skills, upgraded system",Work-Life Balance,0.0,43
Career growth. Working condition in office,"Career growth, Working condition, office",Work-Life Balance,0.0,44
Very good. Nothing to dislike at present,,Work-Life Balance,0.0,45
Salary on time. Management politics.,"Salary, time, Management politics",Salary and Benefits,0.26066374780408963,46
Very good culture but only for on roll employee off rol employee not satisfied with the process. No and no,"Very good culture, roll employee, rol employee, the process",Company Culture and Management,0.12031284450722007,47
👎🏻 don’t join this company. Advise don’t join this company,"👎🏻, this company, Advise, this company",Company Culture and Management,0.282480014279296,48
Brand name. Doesn't care about Employees,"Brand name, Employees",Work-Life Balance,0.0,49
Just ok. People at Site top management doing favouritism openly.,"People, Site top management, favouritism",Company Culture and Management,0.1816516346734113,50
Growth opportunity. No dislikes as such everything satisfactory,"Growth opportunity, No dislikes, such everything",Work-Life Balance,0.0,51
Nice. Joining process is very slow,Joining process,Work-Life Balance,0.0,52
Work life balance. Policy implementation is not fully adopted.,"Work life balance, Policy implementation",Work-Life Balance,0.6962310291197014,53
Good Company to work with. NIL,"Good Company, NIL",Company Culture and Management,0.2398736588102846,54
"Brand, system, culture. Can't describe","Brand, system, culture",Company Culture and Management,0.2398736588102846,55
Diversified Work Scope. HR policies,"Diversified Work Scope, HR policies",Work-Life Balance,0.14993450805086697,56
Work as a sales officer. I work hard,a sales officer,Work-Life Balance,0.0,57
Delegation. Culture of work with central and site team,"Delegation, Culture, work, central and site team",Company Culture and Management,0.2424750116464011,58
Good opportunity and skill development very good. Ok,"Good opportunity, skill development",Skill Development and Work Satisfaction,0.4038730103783143,59
"Good experience, job satisfaction is good. Busy shedule, material theft control is big challenge","Good experience, job satisfaction, Busy shedule, material theft control, big challenge",Job Security,0.164576241639335,60
"Good Company to work, Employee friendly and Result oriented. There is nothing much to dislike","Employee, Result",Work-Life Balance,0.0,61
Good company. Job security is poor,"Good company, Job security",Job Security,0.6703044378683302,62
Adani santigram is duty experience. Adani santigram working is my experience,"Adani santigram, duty experience, my experience",Work-Life Balance,0.0,63
"Good. no,.....adani group very nice and beautiful",adani group,Work-Life Balance,0.0,64
Package full and other facilities. Frequent travelling and no social activities,"Package full and other facilities, Frequent travelling and no social activities",Salary and Benefits,0.12067603042812564,65
"Fresher it's good. Very pethatic for off role job, no increment or no additional benefit","role job, no additional benefit",Job Security,0.24484073082766172,66
Good. No problem I think average,No problem,Work-Life Balance,0.0,67
On time salary. Micromanagement at all levels. Good only for those staffs who have joined through college campus.,"time salary, Micromanagement, all levels, those staffs, college campus",Salary and Benefits,0.16252866496737994,68
Great place for working. No,Great place,Work-Life Balance,0.0,69
Facilities is the Best. No issue,"Facilities, No issue",Work-Life Balance,0.0,70
"Flexible timing, Appraisal on time Everything is fine. Nothing","Flexible timing, Appraisal, time","Promotions, Appraisal and Advancement",0.2047974594361075,71
Worklife balance. Delay in response over mail,"Worklife balance, response, mail",Work-Life Balance,0.23263524901287366,72
Safety 🦺. Not properly guide and not allowed mobile phones 😞,"Safety, mobile phones",Work-Life Balance,0.0,73
Good company. Everything is good,Good company,Company Culture and Management,0.30266423226280154,74
Nothing to like. Culture is unethical,Culture,Company Culture and Management,0.47386908010193163,75
Only hard working. All things,"Only hard working, All things",Work-Life Balance,0.0,76
The company takes good care of employees. Everything depends on your immediate boss,"The company, good care, employees, your immediate boss",Company Culture and Management,0.14185520164948803,77
Salary. No support of seniors in trouble time,"Salary, No support, seniors, trouble time",Salary and Benefits,0.20086133218997979,78
work environment. nothing as such disliking was there,"work environment, such disliking",Work-Life Balance,0.16999124253743805,79
No. Salary was poor and very late....and this company cso Santosh Kumar Sharma was very thief,"Salary, this company, Santosh Kumar Sharma, very thief",Salary and Benefits,0.17637787233153943,80
"Nothing to like about company. It is having very toxic work culture for lower level employee..No promotion,no reward and you have to stretch working every day.","company, very toxic work culture, lower level employee, No promotion, no reward",Company Culture and Management,0.2312222625824299,81
All adani group team member friendly work at site,"All adani group team member friendly work, site",Work-Life Balance,0.11615647956526723,82
"Secured Job , reputed company. Office politics , increment , promotio , HR policies","Secured Job, , reputed company, Office politics, increment, promotio, HR policies",Job Security,0.1731285410789098,83
Working culture is very good. Working place is not fixed,"Working culture, Working place",Company Culture and Management,0.16491562552850594,84
All members supported. Only like,All members,Work-Life Balance,0.0,85
Good learning and skill development for employees. Vast differences in salary in same position employees,"Good learning and skill development, employees, Vast differences, salary, same position employees",Skill Development and Work Satisfaction,0.2591113872221896,86
I like group work and culture of all areas. No,"group work, culture, all areas",Company Culture and Management,0.1921083071803165,87
Good work culture. Some sites are at remote location,"Good work culture, Some sites, remote location",Company Culture and Management,0.15806992922471308,88
Perfectos . .Nothing as much . .,Perfectos,Work-Life Balance,0.0,89
"Infrastructure. People are not respective to each other, they should give training for work ethics and behaviour before hiring","Infrastructure, People, training, work ethics, behaviour",Work-Life Balance,0.13563026404753545,90
Not satisfied.Not systamatic work,Not systamatic work,Work-Life Balance,0.20109694750733756,91
Very good company Adani Group. Yes,Very good company Adani Group,Company Culture and Management,0.1816516346734113,92
skill development. employee appreciation program,"skill development, employee appreciation program",Skill Development and Work Satisfaction,0.3547627604632765,93
No likes worst. All dislikes worst,All dislikes,Work-Life Balance,0.0,94
"We are pleased to inform you that your salary has been credited on time as per the payroll schedule. Have some concerns regarding my salary structure. Specifically, the PLI (Performance Linked Incentive) is unclear, and I would appreciate clarification on whether it is counted as part of my CTC. Additionally, despite receiving a good opportunity elsewhere, my current reporting boss is unwilling to relieve me.","your salary, time, the payroll schedule, some concerns, my salary structure, the PLI, (Performance Linked Incentive, clarification, my CTC, a good opportunity, my current reporting boss",Salary and Benefits,0.16491848694024194,95
Company growth and salary correction. Food quality in canteen.,"Company growth, salary correction, Food quality, canteen",Salary and Benefits,0.18970150417224235,96
Safety and behaviour of all my senior staff. Nothing,"Safety, behaviour, all my senior staff",Work-Life Balance,0.0,97
Best work environment. Not applicable,Best work environment,Work-Life Balance,0.20109694750733756,98
Working culture is highly appreciated. Timing issues,"Working culture, Timing issues",Company Culture and Management,0.2047974594361075,99
No work only relax. A hell lot of politics. If you can please your manager then only you’ll get promotion and appraisals. Very low increment. HR first promote themselves then look for other departments promotions.,"No work, A hell lot, politics, your manager, only you, promotion, appraisals, Very low increment, HR, other departments promotions","Promotions, Appraisal and Advancement",0.09486635065266791,100
Job security and wider option of IJP in different fields that's ADANI is working only after completing 3 years in Adani. Politics and HR dominance in all OPERATIONS,"Job security, wider option, IJP, different fields, ADANI, 3 years, Adani, Politics and HR dominance, all OPERATIONS",Job Security,0.2875277257642258,101
"Gautam adani rest of this worst culture by superior. Don’t have any work ethic’s. Work culture, no job security worst work culture no teamwork","Gautam adani, this worst culture, any work, Work culture, no job security, no teamwork",Job Security,0.292131804144007,102
Salary. Type of work and lack of clarity,"Salary, Type, work, lack, clarity",Salary and Benefits,0.23398104564888772,103
Leave benifit. Hiring process and offering process,"benifit, process, process",Work-Life Balance,0.0,104
"All policy's are determined and digitalized, this is good sign. Everything we will get in one click. Transfers - due to transfers family and childern education it's very suffer.","All policy, good sign, one click, Transfers, transfers, family, education",Work-Life Balance,0.0,105
"Thier stability and the upcoming growth. Lot of beaurocracy, Many hidden and strategic decisions","Thier stability, the upcoming growth, Lot, beaurocracy, Many hidden and strategic decisions",Salary and Benefits,0.05724919810149692,106
Great work place for learning. Always Management requirement is High,"Great work place, Management requirement",Company Culture and Management,0.1921083071803165,107
Great place to work. Nothing,Great place,Work-Life Balance,0.0,108
"Salary on time, Company is good, but HOD are only after money. Top management decesion making Not able to handle the HOD. Politics at site. Cunning HOD only want to earn from vendor. Favartisim at site. Not clear with the role and responsibilities. HOD only forwarding assignment and only want to be in limelight. They don't want their juniors that they learn or Mingle with other departments staff.","time, Company, HOD, money, Top management decesion, the HOD, Politics, site, Cunning HOD, vendor, Favartisim, site, the role, responsibilities, HOD, assignment, limelight, their juniors, other departments staff",Company Culture and Management,0.12748013098797648,109
Good company. No dislike Adani group good construction,"Good company, No dislike Adani group good construction",Company Culture and Management,0.12636912142601078,110
No work pressure. No job security,"No work pressure, No job security",Job Security,0.44750295255449657,111
Culture. More Perks should be given,"Culture, More Perks",Company Culture and Management,0.2398736588102846,112
All seems ok. Top management,Top management,Company Culture and Management,0.30266423226280154,113
Assembly fitter gan. Assembly fitter gan,"Assembly fitter gan, Assembly fitter gan",Work-Life Balance,0.0,114
I like Electricity area Underground wire And working. Coordination with officer,"Electricity area, Coordination, officer",Work-Life Balance,0.0,115
"Auto mission , sefty. Housekeeping, services","Auto mission, sefty, Housekeeping, services",Work-Life Balance,0.0,116
Its a good opportunity for carrier growth. Nothing but upgrade the policy for employees who have studying along with continue job.,"Its a good opportunity, carrier growth, the policy, employees, continue job",Job Security,0.17032771601324212,117
Work pressure is less. Senior not support,Work pressure,Work-Life Balance,0.2594964641492548,118
Salary credited on time. Site culture,"Salary, time, Site culture",Salary and Benefits,0.26066374780408963,119
Learning and Development. Sales Pressure,"Learning, Development, Sales Pressure",Skill Development and Work Satisfaction,0.18506997472858622,120
Overall good. Work life balance is bad,Work life balance,Work-Life Balance,1.0,121
Zero job security. No more devlopment. 80% employee not happy with today's culture and atmosphere. Suddenly they transfer in third party,"Zero job security, No more devlopment, 80% employee, today's culture, atmosphere, third party",Job Security,0.33793725305493133,122
Good place to learn. No job security,"Good place, No job security",Job Security,0.5610427087813911,123
Good. No one is dislike,"No one, dislike",Work-Life Balance,0.0,124
Overall Excellent. medical policy is not good.,"Overall Excellent, medical policy",Work-Life Balance,0.0,125
Work culture. Appraisal process which need to be review,"Work culture, Appraisal process","Promotions, Appraisal and Advancement",0.23172385482609562,126
Extra curicular activities Cultural programs. Everything,"Extra curicular activities, Cultural programs",Work-Life Balance,0.0,127
Likes all ok. no,,Work-Life Balance,0.0,128
"Job security, learning opportunities are huge. Saturday working, office politics","Job security, opportunities, Saturday working, office politics",Job Security,0.4648286283442409,129
Adani group is very good. He does not see his client's fault,"Adani group, his client's fault",Work-Life Balance,0.0,130
I like this safety and security purpose and many benefits provided to township peoples. Nothing,"this safety and security purpose, many benefits, township peoples",Salary and Benefits,0.2515315103318708,131
Adani Top 1. Nothing,Adani Top,Work-Life Balance,0.0,132
Best learning here working at Adani. Nothing,"Best learning, Adani",Work-Life Balance,0.0,133
Nothing. Work culture unstructured way of working,"Work culture unstructured way, working",Company Culture and Management,0.1921083071803165,134
"Self Learning opportunities, culturally flat. Salary and benifits","Self Learning opportunities, Salary, benifits",Salary and Benefits,0.22124519261325004,135
"Safety & Training, 5S & reports. I don't know because I am new joining.","Safety, Training, 5S, reports, new joining",Work-Life Balance,0.0,136
"Job security, salary and benefits, less work pressure. Work satisfaction, company culture.","Job security, salary, benefits, less work pressure, Work satisfaction, company culture",Job Security,0.39489796221186885,137
New job apply. Nothing,New job,Job Security,0.4079486097433083,138
Like but career growth is poor specially Land acquisition. Working hours is very critical Situation due to mine distance from city,"career growth, specially Land acquisition, Working hours, very critical Situation, mine distance, city",Work-Life Balance,0.0,139
"Matches the industry salary, great team members to guide you through complex transactions, flexible timings, good office environment. Exposure to various business lines and verticals. Sometimes the promotions are stagnated.","Matches, the industry salary, great team members, complex transactions, flexible timings, good office environment, Exposure, various business lines, verticals, the promotions",Salary and Benefits,0.10127551715732926,140
excelent. Nothing,excelent,Work-Life Balance,0.0,141
Best company in india. No everything is best,"Best company, india, No everything",Company Culture and Management,0.1816516346734113,142
"Team Work , Great work culture. Not Applicable","Team Work, Great work culture",Work-Life Balance,0.2934447963414669,143
Happy service. This goddess app,"Happy service, This goddess app",Work-Life Balance,0.0,144
Good learning Equal opportunities Fast pace working Perform or perish. Nil work life balance,"Equal opportunities, Perform, Nil work life balance",Work-Life Balance,0.5656000744160177,145
On time salary. No personal life,"time salary, No personal life",Salary and Benefits,0.2289674931163647,146
"Adani group one of biggest company in india. Everything. No growth, knowledge, promotion. Just working like a slave.","Adani group, biggest company, india, No growth, knowledge, promotion, a slave",Company Culture and Management,0.12636912142601078,147
Good place for working. Time,"Good place, Time",Work-Life Balance,0.0,148
Best company in india. No everything is best,"Best company, india, No everything",Company Culture and Management,0.1816516346734113,149
I'm interested this group with sells and transport department any requirement for logistics. As a work farfact planning.,"this group, sells and transport department, any requirement, logistics, a work farfact planning",Skill Development and Work Satisfaction,0.12415684192324931,150
Nothing. Management forcefully transferring people from one location to another with out any benefits for one single mistake they are giving NI which means no increment for a year,"Management, people, one location, any benefits, one single mistake, NI, no increment, a year",Salary and Benefits,0.12634713690861263,151
Good at beginning. Time waste,Time waste,Work-Life Balance,0.0,152
Not a company for your growth. Toxic work culture,"Not a company, your growth, Toxic work culture",Company Culture and Management,0.34219090130210505,153
Not joining still now. I am applied for adani group,adani group,Work-Life Balance,0.0,154
Adani group has evolved as a benchmark in best work culture and employee satisfaction practices. Nothing such,"Adani group, a benchmark, best work culture, employee satisfaction practices",Skill Development and Work Satisfaction,0.22474572522951786,155
Adani group has evolved as a benchmark in best work culture and employee satisfaction practices. Nothing such,"Adani group, a benchmark, best work culture, employee satisfaction practices",Skill Development and Work Satisfaction,0.22474572522951786,156
Focus on automation. Long timing and Saturday working and even Sunday working,"Focus, automation, Long timing, Saturday working, even Sunday",Work-Life Balance,0.0,157
Focus on automation. Long timing and Saturday working and even Sunday working,"Focus, automation, Long timing, Saturday working, even Sunday",Work-Life Balance,0.0,158
Im working since 14yers of the same compny but my salary is not growth same salary so i was found a new job other wise staffs are good .n over all good .but in my future growth nothing .thank you. Good Manegment. Poor Hr team,"14yers, the same compny, my salary, growth same salary, a new job, other wise staffs, my future growth, Good Manegment, Poor Hr team",Salary and Benefits,0.1796558371311846,159
What is the best part of working at the company? exploring in different work cultures What is the most stressful partabout working at the company? employees are not properly recognized which are working in the ground level,"the best part, the company, different work cultures, the most stressful partabout, the company, employees, the ground level",Company Culture and Management,0.12718654338633484,160
Maintenance technician is work very different .u must have to knowledge and experience to how to complete ur work safe..like cricket match all day are new day for you ..u learning every day by day in mechanical work. Some time. 36 hours,"Maintenance technician, .u, ur work, cricket match, new day, u, day, mechanical work, Some time, 36 hours",Work-Life Balance,0.15427787730778736,161
"Except job security, all other arrangements are very good like respected seenier help all about any kind of problem good. The work experience so far has been very good","job security, all other arrangements, any kind, problem, The work experience",Job Security,0.37344460971211135,162
"News writer Please trust my work and experience Better management within my knowledge
Online work from my address
Yes I am work hard
Yes i always enjoy my job","News writer, my work, Better management, my knowledge
Online work, my address, my job",Work-Life Balance,0.12628639097747824,163
"All well not cons, it's a remote location however all is catered for employees. Management is supportive and encouraging. It is heartening to learn more about yourself particularly for growth","a remote location, employees, Management, growth",Company Culture and Management,0.1816516346734113,164
"What is the best part of working at the company? Using SAP Software & Company time Table is best

What is the most stressful part about working at the company?
No there is no answer of this question


What is the work environment and culture like at the company?
I am in Recovery Department for 1 year

What is a typical day like for you at the company?
Sat is the best Day of Week for work","the best part, the company, SAP Software, Company, time Table, the most stressful part, the company, no answer, this question, the work environment, culture, the company, Recovery Department, 1 year, a typical day, the company, Sat, the best Day, Week, work",Company Culture and Management,0.2342782610246318,165
Good company to grow your career . Lots of learnings and challenges which build your skills. Cooperative teamwork. Good management. Health Benefits,"Good company, your career, Lots, learnings, challenges, your skills, Cooperative teamwork, Good management, Health Benefits",Company Culture and Management,0.19523991435888696,166
"Good opportunity for fresh minds, working hours - Monday to Saturday. Work place culture depends on the location but overall decent . Great opportunity across the group.","Good opportunity, fresh minds, Monday, Saturday, Work place culture, the location, Great opportunity, the group",Company Culture and Management,0.09222220500304455,167
Very Political and bad management Only go in this company If you need just Adani wilmar experience Otherwise please look others coz there is no growing opportunities,"Very Political and bad management, this company, just Adani wilmar experience, no growing opportunities",Company Culture and Management,0.28704804322580624,168
Good working culture. Great work atmosphere. And Great envireonment. Good pay Good growth Also great management one of the best company to start with and great work life balance,"Good working culture, Great work atmosphere, And Great envireonment, Good growth, great management, the best company, great work life balance",Work-Life Balance,0.30856911384125657,169
"The team is very good, good learning opportunity. The project is giving me a lot of opportunity to learn and lead. Understanding senior management. They always guide you to help your project reach perfection.","The team, good learning opportunity, The project, a lot, opportunity, senior management, your project, perfection",Company Culture and Management,0.08864803209225561,170
"Company is growing, higher management team is highly qualified and great visionery leaders.

What is the most stressful part about working at the company?
Money is the only thing they consider.They don't have value over goodness of people or their emotions.I have complaint against reporting manager who threatened me and no enquiry took place and no action taken,I was forced to resign.

What is the work environment and culture like at the company?
Poor.HR team worst in Adani Trivandrum airport .No action taken after my reporting manager threatened me.In Trivandrum airport if you are non veg eater and drinker you can survive.The mental trauma I have gone through is un imaginable.

What is a typical day like for you at the company?
If your manager is good then it is comfortable other wise not good","Company, higher management team, highly qualified and great visionery leaders, the most stressful part, the company, Money, the only thing, value, goodness, people, their emotions, complaint, reporting manager, no enquiry, place, no action, the work environment, culture, the company, Poor, HR team, Adani Trivandrum airport .No action, my reporting manager, Trivandrum airport, non veg eater, drinker, The mental trauma, a typical day, the company, your manager",Company Culture and Management,0.24876184975169488,171
Kaam karne ka tarika bahut achha h salary bhi achhi h,"ka tarika, achha h salary bhi achhi, h",Salary and Benefits,0.20086133218997979,172
"Good for working. Those who are actually interested to learn and develop their career. There will be a chance to growth with Organisation. But to take care of situational challenges impacts.

What is the most stressful part about working at the company?
Situational challenges to bring down the career/growth.

What is the work environment and culture like at the company?
Organization is having good set-up and environment to give employees proper training, learning, growth etc.

What is a typical day like for you at the company?
Achievement of LONG SERVICE AWARD in recognition of my dedicated service to the ADANI Group","their career, a chance, Organisation, care, situational challenges impacts, the most stressful part, the company, Situational challenges, the career/growth, the work environment, culture, the company, Organization, good set-up, environment, employees, proper training, learning, a typical day, the company, Achievement, LONG SERVICE AWARD, recognition, my dedicated service, the ADANI Group",Company Culture and Management,0.16322842502605148,173
Too much workload and no work-life balance in engineering department. Pay is ok. Not satisfied with job work. Every Saturday half day working and less leave.,"Too much workload, engineering, Pay, job work",Job Security,0.21305592467052203,174
Fast paced environment with opportunities to learn. The approval hierarchy can be cumbersome sometimes but urgency is given due regard. Benefits provided like subsidised lunch. Breakfast and dinner is provided to employees in the cafeteria. Opportunity to collaborate with advocates and take leads in cases. Saturdays are working unfortunately. They’re half days though.,"Fast paced environment, opportunities, The approval hierarchy, urgency, due regard, Benefits, subsidised lunch, Breakfast, dinner, employees, the cafeteria, Opportunity, advocates, leads, cases, Saturdays",Salary and Benefits,0.09641926269992575,175
"Good place to work, Work life balance but job security is risk. overall nice place to work, growth and increments are good learning and development is there.","Good place, Work life balance, job security, risk, overall nice place, growth, increments, good learning, development",Work-Life Balance,0.32377128269733757,176
compnay is so nice and friendly ...getting much perk as per our work so definitly i would say adani is amazing ...for salary part its very comfortable even work place also ....everything is happenig from AHEMEDBAD ....,"compnay, much perk, our work, adani, salary part, AHEMEDBAD",Salary and Benefits,0.16738184930315797,177
Good company bad management’s . Overall culture within company is good long working hours. High salary provided on time . Overall good company to work with,"Good company bad management, Overall culture, company, good long working hours, High salary, time, Overall good company",Company Culture and Management,0.4217967074275722,178
"fully support all employees . also provide all facilities


What is the most stressful part about working at the company?
ROLE AS A HOD.... WHEN NOT SUPPORT YOUR COLLINGS


What is the work environment and culture like at the company?
friendly environment and policies and documentation culture


What is a typical day like for you at the company?
I am responsible for overseeing my teams as they progress on various advertising campaign","all employees, all facilities, the most stressful part, the company, ROLE, A HOD, YOUR COLLINGS, the work environment, culture, the company, friendly environment, policies, documentation culture, a typical day, the company, my teams, various advertising campaign",Company Culture and Management,0.26463873537081284,179
"One of the best workplace in Ahmedabad.

Good work culture, supportive management. Good colleagues and excellent learning opportunities. Great company and high regard to safety. Overall very good experience","the best workplace, Ahmedabad, Good work culture, supportive management, Good colleagues, excellent learning opportunities, Great company, high regard, safety, Overall very good experience",Company Culture and Management,0.25168790712771816,180
"Indian management no need to discuss, everyone knows about it. Work life balance is horrible. Flexible working hours, job security is very good. Employee benefits are also attractive. 6 days working in a week. Leave policy is good, but during month end you will not be allowed to take your leaves.Job security and flexibility, employee policies and benefits are good.. Work life balance is horrible, toxic Indian management.","Indian management, Work life balance, job security, Employee benefits, a week, Leave policy, month end, your leaves, Job security, flexibility, employee policies, benefits, Work life balance, horrible, toxic Indian management",Work-Life Balance,0.4476873681010446,181
It's is a very good opportunity to start one's carrier as a Get all the thing u need at the time of joining is provided by the company and the management system is pretty good,"a very good opportunity, one's carrier, u, the time, the company, the management system",Company Culture and Management,0.199072928541855,182
"Very toxic and favouratism filled culture. Work-life balance is not considered important by management. They say it openly too - ""you can have 7 working days and work-life balance"" in a townhall.","Very toxic and favouratism filled culture, Work-life balance, management, 7 working days, work-life balance, a townhall",Work-Life Balance,0.6816934265125317,183
"Best safety culture, high productivity, very good growth for employees, great place to work

What is the most stressful part about working at the company?
PMS system and real physical performance feedback is crucial

What is the work environment and culture like at the company?
Great place to work : good accomodation, good transportation, good food, all offices are excellent, , great greenery, rewards system is excellent,

What is a typical day like for you at the company?
As per my thinking, I was put my maximum efforts for organisation,","Best safety culture, high productivity, very good growth, employees, great place, the most stressful part, the company, PMS system, real physical performance feedback, the work environment, culture, the company, good accomodation, good transportation, good food, all offices, , , great greenery, rewards system, a typical day, the company, my thinking, my maximum efforts, organisation",Company Culture and Management,0.21576148074400336,184
"As group its good but in my vetical line manager are with worst attitude.

Over all very less professionalism.
Haven't seen a leader rarher than a task master/ boss.","group, its good, my vetical line manager, worst attitude, all very less professionalism, a leader rarher, a task master/ boss",Work-Life Balance,0.0,185
"High learning and abilities to grow, high pay and support from management, the only problem is work life balance as shifts goes to late evening, very low turnover","high pay, support, management, the only problem, work life balance, shifts, late evening",Work-Life Balance,0.4032524081166759,186
"Adani is best company in India for working environment

What is the most stressful part about working at the company?
Management system are pressed for work hard

What is the work environment and culture like at the company?
Environment are very good we working with freedom

What is a typical day like for you at the company?
Saturday working is typical day","Adani, best company, India, working environment, the most stressful part, the company, Management system, work, the work environment, culture, the company, Environment, freedom, a typical day, the company",Company Culture and Management,0.34289536945992655,187
"Good place to learn new things to show our potential, all staff members are very supportive, manager also give free hands to achieve ang experience new things and new challenges..","new things, our potential, all staff members, manager, free hands, ang experience, new things, new challenges",Work-Life Balance,0.0,188
"In Adani culture, the employee should pay attention to the problem related to transfer, due to which there is a lot of problem in making balance in personal life. Because of this the employee leaves Adani job.","Adani culture, the employee, attention, the problem, transfer, a lot, problem, balance, personal life, the employee, Adani job",Work-Life Balance,0.18193347839827287,189
"There is a need for a change in the workplace culture, I have faced so many days of service, if someone's work performance is very good, then transfer is not given to any other location, because of this there will be problems in our management, because of this, many employees of the company They leave and leave, this happened with me and I gave my resignation at 21, I just wanted a transfer to another location, my so many problems could not be solved, I had to leave the job. Otherwise I would have given 60 years of service","a need, a change, the workplace culture, so many days, service, someone's work performance, transfer, any other location, problems, our management, many employees, the company, my resignation, a transfer, another location, my so many problems, the job, 60 years, service",Company Culture and Management,0.17167449457086492,190
