Review,,Rating,Document_ID,Dominant_Topic,Topic_Perc_Contrib,Topic_Name,Topic_Keywords
"I have came back to change my review after placing an order successfully. Thanks for offering me free shipping+COD. I really struggled to use my card. The app definelty needs a lot of improvement. However I found everything I really needed and the exact size. The size description is very appropriate. On emailing, the spalsh team responded really well. Haven't tried returns though...",,4,12,0,0.8513,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
"Out of the few items purchased from splash app, one of them was damaged and in a worn out condition with stains. The other one was completely different from the image shown on the model. The customer service agents were confused about the return policy, due to which I had to place several calls.My question is instead of making your customers go through so much hassle shouldn't you have checked the items before shipping.Horrible customer service. And very disappointing clothes.",,2,13,0,0.7134,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
"I really not satisfied with the return and refund process. I have been waiting for the refund but until now no update.They still not pick up the items. Then, surprisingly they said they have lost my contact details! That's really weird because my contact details are all in Splash accounts. I requested my refund on 20 November last month.Based on the policy, it will take 10 days but now it's more than 10 days. My first experience with the Splash.Really dissapointed!",,1,14,1,0.9706,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
The order delivery is taking forever. Click and collect in other platforms takes hardly 3 days maximum. I asked for click and collect so that I could get the outfits earlier than home delivery.I placed my order on 22.7.21. Today 27.7.21. Still the app doesn't show any change in status from order placed.. even processing is not updated. I suggest that they should provide the delivery date and adhere to the date. This seems like a forever waiting with status remaining as placed order.,,1,15,2,0.9699,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
This is the worst customer service ever. Item from the order been cancelled without any notification and when I called they said that the item is not available. However it is still showing available in the app. And then I have to wait for my refund which will take 14 days to get the money back to my credit card.Customer services really they don't care.,,1,16,1,0.9701,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Terrible UX. Too slow. Everything you press brings up ""Please wait"" loading. Spent hours browsing when it could've taken me minutes because it's so slow and unresponsive and keeps forgetting my sort and filter preferences every few minutes. I also spent hours trying to make a purchase that should take 5 minutes. I'd rather use the website on desktop. Terrible, terrible app... Edit for reply: RARE? HAVE YOU EVEN READ THE OTHER REVIEWS ON THIS APP? Jeez.",,1,17,1,0.5454,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"I won't even give it a one star, since I've never got to use it. Complaints to the customer service have only yielded in answeres telling me to download the app again and ""we are working on the problem"" what's the point of sending me voucher codes etc. And discounts if you can't even make the app work properly. Poor service! And disappointing.",,1,18,0,0.9725,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
"Sign in is a nightmare! I always have to sign in multiple times and it's never successful even though I'm 100% sure of my password and account and when I reset my password and try to sign in right after, it also doesn't work. Makes shopping with splash a nightmare and I really hate doing it. It's been this way for as long as I remember (more than 2 years maybe!!)",,1,19,1,0.823,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
The app is not bad but yes it restarts a lot. Now what really makes me angry sometimes are the items itself and the materials. A lot of polyester in plus sizes and imitating expensive materials such as lace is not appropriate. It makes the garments look cheap and it's obvious is not the right thing there. If you want to keep yourself safe use more cotton and viscose instade of so much artificial materials and push the designs (even if you inspire yourself from big fashion houses!!!),,4,20,1,0.9524,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"I am facing a problem with the app, Everytime tried to press any offer/option the app sending me back to the home page after refreshing !!! I used to use your app and made purchases many times and it was not bad. Today again there is an issue and last time I faced the same, I thought the app needed update or something but still same problem. SOLVE THIS PROBLEM IMMEDIATELY PLEASE",,1,21,0,0.5737,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
"Hi, I will give it 4 star. The app is good, it just takes sometime to understand how to find specific items. Team can work towards the slow response of the app, which is the only issue i see in my opinion. Rest everything is good. Products are very well placed and offer/ sale prices are very good. One place to find all offers. No need to go different stores to find one dress. I like shopping here, the most imp thing is delivery, very next day. Pick up or home delivery both are quick. That it.",,4,22,2,0.965,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"2 improvement points. 1. When you hit back after opening a product, it just keeps loading. Have to click twice. 2. If i select a product say hoodie, i also want to see the option of the trouser that goes along with it. So that if i want to buy that hoodie I can then navigate to the trouser that the model was wearing.",,4,23,0,0.9726,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
"Very convenient to buy and the price is absolutely great! However, when I am about to pay through card, it failed several times. So, I have to go to COD. Another thing, they give me a promo code but it doesn't apply to my order.",,3,24,1,0.9531,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
The app doesnt work outside the UAE. So if you are looking to view products from another country and get it delivered to a family member or friend pls note that the app restricts entry from outside UAE- you wont be able to view any items. Have had this issue since the last year and looks like they wont fix it. So I just uninstalled the app. The same goes for their website and other sister co apps.,,1,25,2,0.8503,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"Worst service I've ever dealt with Worst customer service Worst delivery (never got any of the things i ordered) After waiting for my order to arrive for a week and after saying it was out for deliver, my order got cancelled I called to ask why it was cancelled no one helped me and said there's nothing they could do Worst experience with an app ever I'm never shopping from this app again.",,1,26,1,0.9609,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
Terrible online experience!! Placed an order online. The amount have been deducted from my account. Now I have received an email to say that my order have not been processed and that there was no amount taken. But the deduction have gone through. This is absolutely horrible. No one is getting back to me regarding the payment made and the fact that I will not get my order. Worst Worst Online Experience Ever 😡😡😡😡,,1,27,1,0.9585,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
Nice app. but needs to widen the collection to include all in-store items. Also still missing some options to make it easier like not to take you to check out option whenever you add an item. I don't like the 15 items max. order. Also Shukran caridit is not updated at all no matter how many orders you have made!!,,4,28,2,0.9646,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"Tried to complain within the app for the wrong delivery but doesnt have that function so much for customer satisfaction. Refunded the item instore but got less on the item because the item that got delivered was cheaper than the one in my cart. Im not sure if logistics between the app, store, and warehouse is done right or not done at all..this is so dissappointing in my part since I've been shopping mostly in splash in the past 7years and the first experience on your app is this..",,2,29,0,0.831,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
"Worst app.. booked and confirmed .. after may 4-5 hours it sends you email that order is cancelled.. and if you browse the products again.. it still shows the item is available.. With me within the past 2 days it has happened more than 10 times and across your apps of splash,max,centrepoint",,1,30,1,0.9644,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Very, very bad because it's a program that doesn't make fully available options for changing clothes of different sizes, and there's also a size There are conditions that you cannot refund with the clothes recovered, although there is a voucher above 40 dinars for interest from the voucher because they will decrease the amount to you, although the payment is cash when receiving is also interest.",,1,31,1,0.9607,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"I placed an order ""click and collect"" and it has been 12 days team is unable to deliver the product i bought at their store for pick up. There is lot of communication back and forth but no solution. They are neither cancelling the order nor delivering the goods. I wish, i could give them negative ratings.",,1,32,0,0.9513,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
"the application won't load anything, just stuck on loading icon. fix it please update:- problem still exists even after reinstalling the application/ my phone Huawei Nova 3, and yes my system updated to the last version. and bybthr way the application was working fine before few days/ update: i don't have user ID to give you, and i can't access center point app and shoemart app as well, i think you are all connected in the same server",,1,33,1,0.829,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
Worse experience...no option to change size..had to return the whole order cause of one item..worst customer service ever,,1,34,1,0.9713,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"App is EXTREMELY laggy, slush and unresponsive. The issue has been persisting for at least 2 years now, the development team didn't bother to fix it. And no, it's not my phone, other people around me experience the exact same thing. I have re-installed the app, formatted my phone.. etc. Nothing helps.",,2,35,0,0.917,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
"Sadly ordered many times as deals are better than offline. But the expereience is the same, old, laggy, counter intuitive, draggy, slow application. Will change review once it works better. Love the brand and ppl behind in but in 2022 we gotta make online convenient. Writing it here to open some eyes and let the responsibe be more responsible.",,1,36,0,0.9572,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
App is not working. Keeps on crashing while launching. It's happening with all land mark retail app such as max and centrepoint too. Your new update has made app crashing in everyone devices. Can't even open the app. Also reported sent you guys the screen shot as well!,,1,37,1,0.9494,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Very poor refund process - I haven't received my refund yet, and it was initiated in Nov '2023",,1,38,1,0.9456,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"I have complained through the app and their facebook acct about the item i ordered but received a different one for it but no one has ever contacted to resolve the issue. It has been 2 weeks. I ordered an eyelash curler but received a pillow case. I was a regular online shopper but now im disappointed. Update: emailed the address given and received a notification that i'll be eeceiving a refund for my missing item and i have to reruen the wrong one. For the response, thank u.",,3,39,2,0.9021,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
It is very annoying that every time I open your app and click on something it's just same page opening again n again. It was working fine before I buy online a lot from your app. But I don't know what happen now to your app even I have Uninstalled the app and again install still app doesn't work properly. Please do something about it.,,1,40,2,0.9577,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"I wish if I could give 0 stars. One of the worst shopping experience ever. Purchased something, promised delivery the next day, it's been 4 days and still no update from their side. Tracking option says the item is undelivered. Worst customer service ever. The customer agents does not know any update on the delivery. Such a dissapoitment. If you can't deliver the item please return the money.",,2,41,1,0.9483,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"The app is just not working from the homepage. Only when selecting the notifications, am I able to view the products. If I start the app afresh, the app is just crashing. Tried reinstalling the app still, the issue is not resolved, can share a screenshot if needed.",,1,42,1,0.9639,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
Worst experience ever with a shopping app It booked my order and after a few hours I received an email containing that my order has been cancelled. I also re-checked the same product and it was available on the app. There should be some respect for online customers as we are not sitting free of work. I would rate it zero star if possible. And I will tell all my friends to uninstall this app. I will also post about this big scam app on all of my social media accounts and share as much as I can.,,1,43,0,0.9536,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Pathetic app. It eats my money as well. I made an order while order placement was on the last stages suddenly app got stuck but amount was deducted from the account and no order record was saved. I called several times on the helpline but they said sorry we cannot resolve this issue. App developer is very poor.. Pathetic server. Stucks everytime. And i believe all user facing same issue.,,1,44,1,0.5937,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
I have been trying to buy online for two days but have been unable to do so due to errors displayed,,1,45,2,0.9641,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
Problem in favorite list.. after i add items to favorite lost and i click on favorite list it open list empty,,2,46,2,0.8572,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"Excellent collection, need to work upon the logistics",,5,47,0,0.9129,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
"Very buggy. If we minimize even for a second, app restarts. When click of any product, take too much time to load. Tried to buy and pay through credit card, minimized to check the card number, app get back to home. Can't move the images when in large mode.",,1,48,1,0.8598,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Requested for order status 3 times, never received any updates, everytime when I inquire their response is 'will update to you soon' , still no response.(no emails,no phone calls) Seems like they are not interested in delivering the order after getting paid. Other apps and services give atleast an update of there is delay, this doesn't. I don't know what's the use of customer service if they can't provide me an update for the items ordered. disappointed!!!",,1,49,0,0.9488,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
"I made an order on the Splash app and the driver called to deliver but at the time i was working and couldn't answer the call. There was no attempt to contact me again regarding my order. I contacted the customer care centre and informed them, they dropped the call and i called back. I informed them of my problem. Nothing was done to resolve the issue. Nobody contacted me again. After about a week i was informed my order was cancelled as nobody could contact me? Seriously? Im very disappointed.",,1,50,1,0.9684,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"they sent me the wrong item, and they never refunded me the amount and did not bother to pick it up although I followed up several times they just kept on saying next week tell 7 months passed! the sad part is they wasted my money on item I will never wear. And in the app I could see I have a refund request but they have to collect the item and no one did. anyways never again out of principle they seem like they don't care about their customer's as long as they receive the money they are done.",,1,51,1,0.9678,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Worst experience online,the stuff is too much cheaper I think the 10 item is much better than. Don't have any contact number to replace or change the oder,also delivery boy don't know where he pick my oder,I want to change my oder,I have size issue and the stuff is look too much cheaper quality.",,1,52,1,0.9634,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"I was given the wrong products, not the wrong size, entirely different product.Contacted them to rectify the issue, they asked to contact them after 2 days. I requested them to get me the right products to which their policy is they will refund the money which will be credit back in 4-15 days without giving the right products and take the wrong products back.They mess up but the customer has to deal with their mess by wasting their time, waiting for their money while having nothing they wanted.",,1,53,0,0.8921,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
well I'm suprised about the negative reviews I am a frequent shopper with landmark and I've never had an issue with all their stores especially max shoemart and splash. I've returned a number of items and even when it was my fault at times they always helped change return or refund. average 2-3 days,,5,54,1,0.9752,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Hello, I put an order on 20th of May on your Splash app. After 1 week I canceled it as it was never delivered. I didnt get my money back not even after 1 month! I paid with PayPal so it's not about the bank, you just dont give back the money, almost 100 USD.That's an embarrassing situation! Update: I send again as many times requests, your agent told me the money are in my bank account. Lies again, as I paid with PayPal, so no money in there! GIVE ME BACK MY MONEY!!!",,1,55,2,0.9593,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"Not user friendly app at all, has raised a complain that the app doe not open on wifi. Someone please visit SHEIN app and have a look if u are on a shopping cart page and then u view an item in ur basket and try to go back it takes you to the history of last what u have seen Very annoying app.. All landmark app have the same problem.. Get it resolved. Also if ur app is having a problem ur website should be accessible, when u access the web site it takes u to the app.Please fix ur app",,1,56,1,0.9677,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
Initially I liked the app but from the past few months I am unable to open the app. I just tap the app and it just shows the opening screen even for hours. I am disappointed with app management. Kindly fix this.,,1,57,1,0.9686,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
worst online shopping app . i orderd for pick up and they said they will inform me if it is ready for pick up and even gave me a 2 to 3 days for it and it was already payed but its taking a long time ive been asking customer service and they just give me the same answer every time . its been more than a week since i orderd . it seems like they dont care about your order once you already payed it .,,1,58,1,0.9354,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Main drawback of splash is there is no replacement facilities. Better take a little effort and visit shop and buy. If the stuff not recived with correct size and you need replacement even we ready to visit any shop for replacement, they don't have options for that. My online experience with splash is bed. I will never use online shopping. Their details of products is not that much accurately. I can give 1 star. Sorry splash mangment.",,1,59,1,0.9643,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Really disappointed and frustrated! I ordered online on 14th Nov. Delivery shown on 15th Nov, but got it on 16 Nov. The items I ordered wasn't perfect fit for me. So I requested return and I selected shukran wallet for instant refund. It's been one week, I haven't received my refund yet. If it was gonna take time, then please don't misguide people on the name of 'instant refund in Shukran wallet.' if I don't get my refund in 2days, then I will file a complaint to police and consumer court.",,1,60,2,0.9622,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"its worst shoping experience to buy online from splash. i would recomend never buy from them online. the reasons. 1. they will accept the order and after three days of waisting time they will come up that items are not in stock. whats the point of accepting order and deduct the payment if items are not in stock... time waisting at all. 2.Refund policy is poor. refund will only happen in 15 days... using the customers money for 15 days... nightmare,.. 3..poor delivery time frames..",,1,61,2,0.9692,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"SCAM ALERT!!!                             Landmark Group online shopping is a SCAM!!!    they list items online and when u purchased them, they send u an email that the order was cancelled and does not refund the money to the bank account rather keeps the money with them. then either u have to forget about your money or forcibly make another purchase from them. How stupid can these people get? All Landmark group apps are a total disaster. How can they not make a proper app? It seems they are scamming people and the apps are designed exactly for that.  Stay away from landmark group apps for online shopping",,1,62,2,0.5926,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"Still waiting for the delivery that was schedule within the day!!.. Customer Service, name MAIS.. is not helpful as he/she is.. he/she keep the customer hanging on chat.. and the issue was not resolved he/she says it resolved.. not a good customer service.. got disappointed.. not a good experience. Was about to cancel my order all he/she says is you can refuse not to accept the order.. how can you earn a loyalty from customer if like this.. super worst customer service i experienced..",,1,63,2,0.9772,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
Overall this is a good app that provides good knowledge about the clothes that are available with the brand. But it would be great if you introduced a refine/filter option that would allow the user to refine their clothes such as pants/trousers according to the pants length.,,4,64,1,0.9536,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Very bad service,probably one the worst online shopping experience you'll ever have.i have been trying to return clothes that i bought and it have been almost a month and they didn't give me my money back or exchange it , and every employee in the service center gives me a different reason for the delay.",,1,65,1,0.942,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
I return my items before 45days upto now i didn't get my refund.I followup with customer service they didn't reply properly,,1,66,2,0.7571,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
Please don't use the click and collect option at the store in Burjman Center it won't be available to collect on the promised time. I had faced this issue twice with the above store. Every time I give the option to collect for Burjman the delivery will be delayed by at least 5 days.,,1,67,2,0.8902,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
I had used earlier like 3 times. Now since 6th October I am placing order and while checkout ot says item out of stock there is not even a gap of 10 mins between I selecting the product and checking out. I have screenshots where while checkout its out of stock and while shopping it shows that same product is available,,1,68,1,0.819,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Worst online service experience I have seen ever. I have placed order 20th March, by mistaken I provided contact number wrong. Then I have updated my number correctly on next day. But they delivered to someone else and said its already delivered. I don't understand how they can provide without checking customer details even have given current address. Terrible experience 😪",,1,69,1,0.9559,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
It's the slowest app I've ever used. Pages keep getting stuck. So many times my payment doesn't go through because it keeps reverting to the homepage. It's so frustrating to shop on this app 😤,,1,70,2,0.6056,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"I agree with the other views. Very bad customer service. I have also returned my items back with no refund. Every time I call customer service, I am told it reached the warehouse and will get back to you. Its been a week and still waiting. No body is bothered to reply back to my emails. I regret buying from splash and will never buy again.",,1,71,2,0.9138,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"Very bad experience, used to buy from splash store very often, but when ordered online, i got damaged clothing, very sad that this happened, probably never gonna buy from splash or wont recommend others to buy from centrepoint again.",,1,72,1,0.7014,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Worst App ever..,ordered a next day delivery only to take 3 days without being delivered,called customer service only to be told delivery is delayed because its a weekend,as if when they were accepting the order on a Friday they never knew the next day is a Saturday. Someone is sleeping on their job. I wouldn't recommend this APP to anyone.",,1,73,1,0.7929,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"I have a proplem with the WI-FI every time I open the app tell me you don't connected to the network, but I am connected and when I tried to open other applications it opened and it must be connected to the network to use the Application",,1,74,1,0.9286,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Worst delivery service. Ordered an item before 20 days, I haven't received item. My money is stuck, as I can't cancel my order for cash refunding. Even, After sending complaint, no one is responded. Really waste of time...",,1,75,1,0.9288,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Regretfully, I must point out that there is a need for significant improvement. The application tends to freeze inexplicably, predominantly causing inconvenience.",,3,76,2,0.5374,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"I ordered some items here and its says only 1 stock left, I hurried to buy it and then after I recheck my order list to confirm when they'll ship it, I just saw that they partially cancelled the item that I buy, then after I re-order again but they put out of stock. I order early this morning July 16, 2019 (6AM)",,1,77,0,0.8504,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
The worse customer service of splash online shopping.I will neverever shop online from splash again! I have paid cash on delivery and as they say if we pay cash we get cash back on return.But when I went to store they refused to give me cash back and refused to take the items back after 1 hr of argument they asking me to call customer service n request for return.i requested online return n they collected items but when I got email for refunded vouchers in the list 1 item was not added for refun,,1,78,0,0.9285,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
It's not working properly when we are clicking on menu it refreshing on same page. We are not able view any items other than homepage. I uninstalled and installed 3 times. Pls do it necessary things.,,1,79,1,0.8856,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"I tried to buy some items online just few hours ago. While placing the order and entering my details, the app is keep on coming back to home page! i tried again and finally after 3 attempts it went through. I choose to pay by card and it went well. Few minutes ago, i received a message from SPLASH that my order WAS NOT SUCCESSFULLY PROCESSED. Please explain WHY???",,1,80,0,0.942,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
"I ordered some clothes worth of 250 from splash on 4th march and the delivery date shown was 5th march.Next day it showed shipped and will be delivered soon,but after that I got a message saying due to some address issues they couldnt deliver it and will get back to me soon.But its been 4days and not delivered yet.It was a prepaid order and there is no option for a cancellation.I tried sending mails also and they are replying they need some time to figure it out,lol. Worst experiance.",,1,81,2,0.9678,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"I shopped so many items in kuwait like 1000KDs in a month time, and two of my orders, I was charged twice (app is not good) and 3rd charged me without getting any items at all, I have returned many items and their app is not updating it, MOST OF ALL I EMAILED THEM 100 times and I didnt get my money back, extremely BAD ONLINE SERVICE, i will not change my rating until i get my money back",,1,82,1,0.9697,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
Very easy to add items in your cart. The best part is that they send you notifications if the items are back in stock. It also keep you updated with new offers and discounts. Great experience overall.,,5,83,1,0.9616,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
Very bad app and technical team. Always one or other issues. I'm facing issue on my splash account and I have raised a complaint to technical team long time ago but until now they are unable to fix it. Overall very bad experience with this app.,,1,84,1,0.9478,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"Always hang up! If u want to check out and save later some items, it will hang up. Need to restart the phone in order to proceed again. Once it is in yout basket u cannot remove it otherwise it will hang up. Worse app in on line store.",,1,85,2,0.9557,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
good quality item.and fast delivery,,5,86,0,0.9497,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
"Link is not working properly in one plus 7 Link is not opening the appropriate page . It's always routing to home page .. If you minimize the app, and reopen it will simply go to the default home page. It's not able to keep the session alive..",,1,87,0,0.8609,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
"Saw the ad on Tik Tok and got excited. However found out after downloading it that its fraud. The cap & price they show there are not even listed. Its just to fool people to download the app. Moreover you search for caps and sort from low to high, you will start getting Tshirts and stuff. Quite immature app and quite slow.",,1,88,0,0.6306,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Worst delivery time. Not delivering products on time as promised during the checkout. Really unhappy with the service. Customer care .. wow. Absolutely its a waste of time to call them. Dont solve any issue at all,,1,89,0,0.9474,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
"This app opens after half an hour and keep on hanging, so I uninstalled/installed it again and again. When they had a 50% off one day promotion I was not able to shop online, its not going through. Hopefully they'll bring it back.",,1,90,0,0.4912,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
Pathetic service I ordered for the same day delivery but since 2days I am waiting for the delivery. My money already got deducted and there's no communication from website for my order and I am unable to connect to customer service very very disappointed. I'll not recommend anyone to use website or app to purchase anything.,,1,91,2,0.5197,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"Late delivery, wrong delivery, i ordered a handbag which comes with a portable strap. But it was delivered without strap. Instead of just giving me strap or exchange my bag I'm asked to returned my order.. until now my bag is not collected for refund.. very slow service.",,1,92,1,0.766,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
From one of the top apps in uae to worst app 3 months now same error even after changing devices. And please don't tell us to contact staff as this should be verifiable on your side about the error we consumers facing. Ask your developer team to give full effort as we cannot be bothered to email this small issues.. TIA,,1,93,1,0.9322,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
I think the shipment is fast but return and refund of money is a problem and you can't even use the refunded credit even after so many days of holding it back so bad. Please fix your app. Thank you,,2,94,2,0.9595,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
"Never order from here guys, they will mention particular delivery date and will order seeing that...but won't deliver on time. Customer service is really bad, they won't give any solution for orders. I am still waiting for my order since two days which was supposed to be delivered day before yesterday",,1,95,2,0.9332,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
Horrible responsiveness. Especially during this sale time. Somehow tapping into any section just restarts the app and gets me back to the home page? 0/5 if possible. Please fix.,,1,96,1,0.9299,Order Timelines,"deliver, shop, worst, splash, update, work, money, days, items, open"
"used my knet to pay, amount was debited but the purchase failed and received a note to contact bank. edit: I received a note that my purchase is under process dunno how their system work but not straight forward!!! waiting for confirmation still.",,2,97,0,0.9205,Uncategorized,"item, good, items, list, size, issue, need, want, work, phone"
I'm so sad and disappointed at the same time.. .i was already excited seeing you have delivery charge..i pick a lot but when i checkout there's only 2 options pay by card and knet..not just me who wants to order also my friend here..but soooo sad we cant,,1,98,2,0.9502,Refund Issues,"online, refund, experience, days, items, splash, return, receive, issue, shop"
